sku;nama_produk;gambar;barcode;sni
ASWK- 03BM+CARD;Whistling Kettle - 03 (3L) - Black Marble + CARD - Asta;;;
ASWK-03CM;"Teko / Ketel / Ceret Air Food Grade Valentina Whistling Kettle Marble Handle
Kayu CREAM";;;
ASWK- 03CM+CARD;Whistling Kettle - 03 (3L) - Beige Marble + CARD - Asta;;;
ASWK-04;el / Ceret Air Food Grade Full Stain;;;
ASWS-01;Sutil Kayu Set Warna Spatula Kayu Set;;;?
ASWS-02;Sutil Kayu / Spatula Kayu / Turner;;;?
ASWS-03;"Sendok Sop Kayu
/ Centong Kayu";;;?
ASWS-04;Spatula / Sutil Sode Kayu / Spatula kayu;;;?
ATCA-01;Panci Casserole Premium Tognana Casserole 24 cm;;;
ATCA- 01+ASSL-01BL;Tognana casserole + soup ladle silikon blue;;;
ATCA- 01+ASSL-01PK;Tognana casserole + soup ladle silikon pink;;;
ATCA-01+CARD;Tognana Casserole Set Hadiah;;;
ATFP-01;Panci Penggorengan Premium Tognana Fry Pan 20 cm;;;
ATFP-01+ATFP- 02;Premium Tognana Fry Pan 20 + 24 cm - Asta;;;
ATFP-02;Panci Penggorengan Premium Tognana Fry Pan 24 cm;;;
ATSP-01;Panci Susu Milk Pan Premium Tognana Sauce Pan 18 cm;;;
ATST4-Tognana;Premium Tognana Set 4 (Fry Pan 20 - Fry Pan 24 - Wok - Casserole);;;
ATWO-01;Panci Wok Premium + Tutup Kaca Tognana Wok 28 cm;;;
ATWO- 01+ASTS-01BL;Tognana wok + soup ladle silikon blue;;;
ATWO- 01+ASTS-01PK;Tognana wok + soup ladle silikon pink;;;
ATWO-01+CARD;Tognana Wok Set Hadiah;;;
BB-ASBSLB;Bakeware Loyang Bulat - Asta;;;
BB-ASBSLP;Bakeware Loyang Persegi - Asta;;;
BB-ASBSMS;Bakeware - Measuring Spoon - Asta;;;?
BB-ASBSSP;Bakeware - Spatula - Asta;;;?
BB-ASBUM01CH;Refill Spin Mop Bulat;;;?
BB- ASFM01GL4PCS;Gelas Familia 4 pcs (Set) 4 Warna;;;?
BB-ASFM01GLBG;Gelas Beige Wheatstraw;;;?
BB-ASFM01GLBL;Gelas Blue Wheatstraw;;;?
BB-ASFM01GLGR;Gelas Green Wheatstraw;;;?
BB-ASFM01GLPK;Gelas Pink Wheatstraw;;;?
BB- ASFM01MK4PCS;Mangkok Familia 4 pcs (Set) 4 Warna;;;?
BB- ASFM01MKBG;Mangkok Beige Wheatstraw;;;?
